sku,warehouse,best_model,best_mape,best_forecast_accuracy
SKU-1017,WH-006,moving_average,18.91,0.8109
SKU-1017,WH-007,moving_average,26.66,0.7334
SKU-1018,WH-001,moving_average,67.0,0.33
SKU-1018,WH-002,xgboost,91.92,0.0808
SKU-1018,WH-003,exponential_smoothing,109.76,0.0
SKU-1018,WH-004,moving_average,49.26,0.5074
SKU-1018,WH-005,xgboost,83.17,0.1683
SKU-1018,WH-006,exponential_smoothing,71.23,0.2877
SKU-1018,WH-007,moving_average,43.85,0.5615
SKU-1022,WH-001,xgboost,31.58,0.6842
SKU-1022,WH-002,exponential_smoothing,43.99,0.5601
SKU-1022,WH-003,exponential_smoothing,39.69,0.6031
SKU-1022,WH-004,moving_average,26.97,0.7303
SKU-1022,WH-005,moving_average,35.72,0.6428
SKU-1022,WH-006,moving_average,26.05,0.7395
SKU-1022,WH-007,xgboost,41.1,0.589
SKU-1023,WH-001,xgboost,31.91,0.6809
SKU-1023,WH-002,exponential_smoothing,25.99,0.7401
SKU-1023,WH-003,exponential_smoothing,24.61,0.7539
SKU-1023,WH-004,moving_average,22.76,0.7724
SKU-1023,WH-005,moving_average,29.92,0.7008
SKU-1023,WH-006,moving_average,22.88,0.7712
SKU-1023,WH-007,xgboost,26.32,0.7368
SKU-1024,WH-001,xgboost,29.16,0.7084
SKU-1024,WH-002,exponential_smoothing,26.53,0.7347
SKU-1024,WH-003,exponential_smoothing,28.02,0.7198
SKU-1024,WH-004,moving_average,24.55,0.7545
SKU-1024,WH-005,moving_average,32.45,0.6755
SKU-1024,WH-006,moving_average,18.46,0.8154
SKU-1024,WH-007,moving_average,27.15,0.7285
SKU-1025,WH-001,moving_average,28.35,0.7165
SKU-1025,WH-002,moving_average,36.74,0.6326
SKU-1025,WH-003,exponential_smoothing,27.77,0.7223
SKU-1025,WH-004,xgboost,25.11,0.7489
SKU-1025,WH-005,xgboost,27.69,0.7231
SKU-1025,WH-006,moving_average,17.97,0.8203
SKU-1025,WH-007,moving_average,26.19,0.7381
SKU-1026,WH-001,exponential_smoothing,68.48,0.3152
SKU-1026,WH-002,moving_average,64.46,0.3554
SKU-1026,WH-003,exponential_smoothing,196.42,0.0
SKU-1026,WH-004,xgboost,64.2,0.358
SKU-1026,WH-005,exponential_smoothing,88.32,0.1168
SKU-1026,WH-006,moving_average,67.75,0.3225
SKU-1026,WH-007,exponential_smoothing,92.17,0.0783
SKU-1027,WH-001,xgboost,41.27,0.5873
SKU-1027,WH-002,moving_average,36.81,0.6319
SKU-1027,WH-003,exponential_smoothing,37.07,0.6293
SKU-1027,WH-004,moving_average,31.67,0.6833
SKU-1027,WH-005,moving_average,33.34,0.6666
SKU-1027,WH-006,exponential_smoothing,21.85,0.7815
SKU-1027,WH-007,exponential_smoothing,34.84,0.6516
SKU-1028,WH-001,exponential_smoothing,37.82,0.6218
SKU-1028,WH-002,exponential_smoothing,38.08,0.6192
SKU-1028,WH-003,exponential_smoothing,27.34,0.7266
SKU-1028,WH-004,moving_average,33.15,0.6685
SKU-1028,WH-005,exponential_smoothing,36.68,0.6332
SKU-1028,WH-006,moving_average,24.84,0.7516
SKU-1028,WH-007,exponential_smoothing,34.2,0.658
SKU-1029,WH-001,moving_average,35.66,0.6434
SKU-1029,WH-002,exponential_smoothing,33.25,0.6675
SKU-1029,WH-003,exponential_smoothing,27.41,0.7259
SKU-1029,WH-004,xgboost,24.82,0.7518
SKU-1029,WH-005,xgboost,29.98,0.7002
SKU-1029,WH-006,moving_average,19.63,0.8037
SKU-1029,WH-007,exponential_smoothing,32.89,0.6711
